0610009O20Rik
0610010F05Rik
1110017D15Rik
1190005I06Rik
1190007I07Rik
1600014C23Rik
1600015I10Rik
1700001K19Rik
1700001O22Rik
1700003F12Rik
1700011I03Rik
1700012A03Rik
1700012B07Rik
1700015F17Rik
1700016C15Rik
1700016D06Rik
1700017B05Rik
1700017D01Rik
1700018B08Rik
1700018G05Rik
1700019N19Rik
1700020N01Rik
1700020N15Rik
1700022I11Rik
1700025G04Rik
1700029H14Rik
1700030K09Rik
1700040F15Rik
1700067P10Rik
1700080E11Rik
1700109H08Rik
1700123K08Rik
1700125H20Rik
1810011O10Rik
1810013L24Rik
1810022K09Rik
1810024B03Rik
1810037I17Rik
2010005H15Rik
2010300C02Rik
2010315B03Rik
2210013O21Rik
2210408I21Rik
2310002L09Rik
2310057J18Rik
2310061I04Rik
2410004B18Rik
2410131K14Rik
2410141K09Rik
2510002D24Rik
2510009E07Rik
2610001J05Rik
2610008E11Rik
2610044O15Rik8
2610301B20Rik
2700081O15Rik
2810459M11Rik
2900092C05Rik
3100002H09Rik
3110002H16Rik
3110009E18Rik
3110018I06Rik
3110043O21Rik
3110070M22Rik
3830406C13Rik
4833420G17Rik
4921504E06Rik
4921509C19Rik
4921511C20Rik
4921524L21Rik
4921530L21Rik
4930402H24Rik
4930415L06Rik
4930415O20Rik
4930444P10Rik
4930447A16Rik
4930447F04Rik
4930452B06Rik
4930453N24Rik
4930455H04Rik
4930480E11Rik
4930505A04Rik
4930523C07Rik
4930546C10Rik
4930550L24Rik
4930564D02Rik
4930578C19Rik
4930583I09Rik
4930595M18Rik
4931400O07Rik
4931406P16Rik
4931408C20Rik
4931423N10Rik
4931429L15Rik
4932414N04Rik
4932438H23Rik
4933400A11Rik
4933405O20Rik
4933407L21Rik
4933409G03Rik
4933415F23Rik
4933424G06Rik
4933425L06Rik
4933434E20Rik
5031439G07Rik
5430427O19Rik
5530400C23Rik
5530401A14Rik
5730455P16Rik
5730480H06Rik
5730522E02Rik
5930422O12Rik
6030445D17Rik
6430573F11Rik
6720489N17Rik
7420461P10Rik
